,cbsa_code,cbsa_name,city,state,cluster_k6,centroid_lat,centroid_lon,MedianHomeValue_B25077,MedianGrossRent_B25064,MedianHouseholdIncome_B19013,affordability_score,job_growth_score,safety_score,education_score,health_score,walkability_score,diversity_score,urban_score,weather_warmth_score,weather_mildness_score
815,44460,"Steamboat Springs, CO Micro Area",Steamboat Springs,CO,4,40.571846,-107.825352,482300,1532,93984,36.21345420335522,97.71390110365463,79.67701434203306,93.20836254644821,82.84492011881922,33.095371778937256,27.9347077485524,12.201407244999125,0.0,12.807849844180163
816,44500,"Stephenville, TX Micro Area",Stephenville,TX,5,32.236669,-98.220545,251900,1134,65351,51.44594858751624,53.92287351531925,79.38467251381877,60.443851299290415,68.90054883919214,27.03501284974674,43.01242227203567,17.055353371980235,79.99388635365769,81.04667485593083
817,44540,"Sterling, CO Micro Area",Sterling,CO,1,40.728091,-103.090464,228100,1027,55074,50.30054343963394,15.234524860482091,40.334029370478234,13.803300471199714,56.85347606566258,38.89170231378303,35.446805246804715,22.771688755137735,27.60749501175366,36.48257981818258
818,44580,"Sterling, IL Micro Area",Sterling,IL,1,41.750673,-89.911005,125800,808,64536,74.8396318584288,45.57403702159532,83.14290633157827,17.800949090807855,52.448085095557715,20.347325124603696,19.3938095007987,26.64378313543709,18.31308530570591,37.1532634798726
819,44620,"Stevens Point-Plover, WI Micro Area",Stevens Point-Plover,WI,0,44.476246,-89.49807,230400,903,73284,68.21860654864632,52.611593753987066,85.23549487665241,64.56814991438927,68.61227181176038,27.602598898849845,11.070577319193683,28.064844380230685,2.48573825705098,8.144109964250916
820,44660,"Stillwater, OK Micro Area",Stillwater,OK,5,36.079225,-96.975255,217700,922,48937,50.901648656029245,46.90064911403052,66.39621208445509,86.56570650868858,57.49385631449019,40.00843138268779,55.06994565354937,42.35872625586213,63.98581469214247,68.71720822926811
821,44700,"Stockton-Lodi, CA Metro Area",Stockton-Lodi,CA,4,37.934982,-121.272244,494500,1633,88531,29.37756815975915,51.0192888005478,15.734084378345415,22.952664763734134,74.84910042960065,98.65674504532737,100.0,94.1549898456643,74.78798419779709,93.58021059979419
822,44740,"Storm Lake, IA Micro Area",Storm Lake,IA,1,42.741522,-95.141432,146900,835,66564,73.38621972650299,48.65251627355933,66.62281882038712,24.659051733242347,62.16262887414951,31.2063699744018,80.5663003829581,6.677499126457843,14.439381848495621,32.94475631642714
823,44780,"Sturgis, MI Micro Area",Sturgis,MI,1,41.911488,-85.52287,167600,825,64707,70.60523270853966,36.263690974263625,100.0,7.686577531034526,36.97441956158816,0.0,21.543622555739095,13.136031513442626,19.351993738868796,42.05627680900187
824,44860,"Sulphur Springs, TX Micro Area",Sulphur Springs,TX,2,33.148967,-95.565434,193200,1038,64725,59.957252089044054,53.40103501589763,85.8132391670842,17.651364702827117,43.909321025757095,5.280271000279465,42.80920464316921,5.448479292840874,81.42212731606723,77.91393241355522
825,44900,"Summerville, GA Micro Area",Summerville,GA,2,34.474178,-85.345289,98700,789,47785,64.63905325443787,50.69945799754232,39.57391419406065,0.0,23.21697521717181,0.0,37.24168980377108,7.461629183656389,63.00886892954026,70.03602006724878
826,44940,"Sumter, SC Metro Area",Sumter,SC,2,33.91614,-80.382376,159500,1006,55990,57.84700035148569,2.4879254452567876,14.396545647162917,28.395004909826593,39.1950756370321,9.836707187791072,88.74821484496519,18.940421516723156,71.75490850733473,78.29776949295142
827,44980,"Sunbury, PA Micro Area",Sunbury,PA,1,40.885514,-76.712649,167100,821,59922,67.33086020174889,93.40415424846213,85.19405330869282,24.65720411833213,43.340545006532,39.39776536508211,9.645515444675455,58.50734905018846,26.806110350108014,36.18377053033307
828,45000,"Susanville, CA Micro Area",Susanville,CA,5,40.715287,-120.621223,259500,1043,64395,53.670614183819985,60.49341620691139,68.76396554030143,0.0,63.92860358786733,15.382536689531095,72.80691627670278,4.011494742893191,25.67529050040286,58.958562032286366
829,45020,"Sweetwater, TX Micro Area",Sweetwater,TX,2,32.312338,-100.418108,98300,866,50160,63.102807138778694,47.87354356144612,96.4475059135288,0.0,23.220678485336247,39.30166505985519,70.34518259233076,22.953403566460004,76.73774480039653,82.5166321743363
830,45060,"Syracuse, NY Metro Area",Syracuse,NY,0,43.006516,-76.196134,175300,1036,73558,68.03259658661594,45.50543918120077,63.63744696523794,66.34799063574224,65.2811509330354,81.03417479773778,42.38166512727258,55.45402274967058,20.202948604812214,21.961925674210534
831,45140,"Tahlequah, OK Micro Area",Tahlequah,OK,2,35.904367,-94.996796,160300,803,53668,64.09738446780023,49.159624889042796,77.85641623038866,49.8777709049333,18.68679988609109,9.447085794385242,100.0,8.940845060820557,66.12559434211092,70.13385793737046
832,45180,"Talladega-Sylacauga, AL Micro Area",Talladega-Sylacauga,AL,2,33.186086,-86.197757,134500,767,56331,69.7284956324682,66.04935193024676,70.33451847492805,5.842900346192434,22.109332554964247,0.41365803590655653,73.9788930992026,5.303561736329997,69.87020875782616,74.90346004405988
833,45220,"Tallahassee, FL Metro Area",Tallahassee,FL,5,30.346366,-84.267001,249900,1197,63078,47.485878602487496,46.08581348277123,94.19392955891419,89.14414431700624,71.08661783935052,59.79354374942761,88.39854277988022,37.2925868500912,95.19540980392948,79.36668159161404
834,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa-St. Petersburg-Clearwater,FL,4,28.120541,-82.525188,306100,1497,71254,36.632850192495624,59.24320101135474,90.05338350088925,65.66510175658456,67.90138151239793,91.87126954188635,79.03412549963042,98.13156414369189,100.0,73.64795067698138
